Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
V7 Bugs,Chrome 75.0.3770.142,,,2019-08-06 14:50:45,2019-08-06 14:51:52,"1m - 6,891s",INCOMPLETE
,,,,,,,
Test Cases/V7 Bugs/V7 715,Chrome 75.0.3770.142,"mapchart doesn't resize in ""edit campaign"" workflow",Bug,2019-08-06 14:50:46,2019-08-06 14:51:04,"18,290s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-08-06 14:50:46,2019-08-06 14:50:50,"3,984s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-08-06 14:50:50,2019-08-06 14:51:00,"10,225s",PASSED
waitForPageLoad(3),Chrome 75.0.3770.142,,,2019-08-06 14:51:00,2019-08-06 14:51:00,"0,103s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-08-06 14:51:00,2019-08-06 14:51:00,"0,176s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-08-06 14:51:00,2019-08-06 14:51:01,"0,254s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-08-06 14:51:01,2019-08-06 14:51:01,"0,111s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_KAMPAGNEN BEARBEITUNG (1)""))",Chrome 75.0.3770.142,,,2019-08-06 14:51:01,2019-08-06 14:51:01,"0,659s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/a_Kampagnenbearbeitung_nav-link tab-button-a v7-highlight-font active""))",Chrome 75.0.3770.142,,,2019-08-06 14:51:01,2019-08-06 14:51:03,"1,787s",PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-08-06 14:51:03,2019-08-06 14:51:04,"0,588s",PASSED
,,,,,,,
