Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
V7 Features,Chrome 75.0.3770.142,,,2019-07-31 13:14:16,2019-07-31 13:14:34,"17,900s",INCOMPLETE
,,,,,,,
Test Cases/V7 Features/V7-717,Chrome 75.0.3770.142,"WorkflowSelection component should use categories
We need to make it possible to configure a ""dropdown menu"" for certain workflow-buttons in the workflow-selection.component.",Features,2019-07-31 13:14:17,2019-07-31 13:14:34,"17,550s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-31 13:14:17,2019-07-31 13:14:21,"4,146s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-07-31 13:14:21,2019-07-31 13:14:32,"10,937s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Div/div_Nutzername""))",Chrome 75.0.3770.142,,,2019-07-31 13:14:32,2019-07-31 13:14:33,"0,171s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-07-31 13:14:33,2019-07-31 13:14:33,"0,136s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-07-31 13:14:33,2019-07-31 13:14:33,"0,248s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-07-31 13:14:33,2019-07-31 13:14:33,"0,098s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Span/span_KAMPAGNENDEFINITION""))",Chrome 75.0.3770.142,,,2019-07-31 13:14:33,2019-07-31 13:14:34,"0,695s",PASSED
"verifyElementVisible(findTestObject(""Page_BusinessRadar-Client 700/Div/div_Kampagne erstellen  Kampagne modifizieren""))",Chrome 75.0.3770.142,,,2019-07-31 13:14:34,2019-07-31 13:14:34,"0,069s",PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-31 13:14:34,2019-07-31 13:14:34,"0,585s",PASSED
